title,dosage_form,manufacturer,strength,price,url
1stCef,Capsule,Medimet Pharmaceuticals Ltd.,500 mg,Unit Price : ৳ 12.00,https://medex.com.bd/brands/18658/1stcef-500mg
3-C,Capsule,Edruc Ltd.,200 mg,Unit Price : ৳ 35.00,https://medex.com.bd/brands/7695/3-c-200mg
3-C,Powder for Suspension,Edruc Ltd.,100 mg/5 ml,"100 ml bottle :
            
                                    ৳ 195.00",https://medex.com.bd/brands/7696/3-c-100mg
3-C,Capsule,Edruc Ltd.,400 mg,Unit Price : ৳ 48.00,https://medex.com.bd/brands/18731/3-c-400mg
3-F,Tablet,Edruc Ltd.,500 mg,Unit Price : ৳ 14.00,https://medex.com.bd/brands/9538/3-f-500mg
3-Geocef,Capsule,Hallmark Pharmaceuticals Ltd.,200 mg,Unit Price : ৳ 30.00,https://medex.com.bd/brands/7697/3-geocef-200mg
3-Geocef,Powder for Suspension,Hallmark Pharmaceuticals Ltd.,100 mg/5 ml,"50 ml bottle :
            
                                    ৳ 175.00",https://medex.com.bd/brands/7698/3-geocef-100mg
3Bion,Tablet,Jenphar Bangladesh Ltd.,100 mg+200 mg+200 mcg,Unit Price : ৳ 8.00,https://medex.com.bd/brands/13717/3bion-100mg
3D,Capsule (Liquid Filled),Jenphar Bangladesh Ltd.,20000 IU,Unit Price : ৳ 20.00,https://medex.com.bd/brands/31993/3d-20000iu
3D,Capsule (Liquid Filled),Jenphar Bangladesh Ltd.,40000 IU,Unit Price : ৳ 35.00,https://medex.com.bd/brands/31994/3d-40000iu
3RD Cef,Tablet,Medimet Pharmaceuticals Ltd.,200 mg,Unit Price : ৳ 27.00,https://medex.com.bd/brands/7699/3rd-cef-200mg
3RD Cef,Tablet,Medimet Pharmaceuticals Ltd.,400 mg,Unit Price : ৳ 50.00,https://medex.com.bd/brands/7700/3rd-cef-400mg
3RD Cef,Powder for Suspension,Medimet Pharmaceuticals Ltd.,100 mg/5 ml,"37.5 ml bottle :
            
                                    ৳ 130.00",https://medex.com.bd/brands/7701/3rd-cef-100mg
5 FU PhaRes,IV Injection or Infusion,ZAS Corporation,25 mg/ml,"500 mg vial :
            
                                    ৳ 457.00",https://medex.com.bd/brands/17301/5-fu-phares-25mg
5-Fluril,IV Injection or Infusion,Techno Drugs Ltd.,25 mg/ml,"250 mg vial :
            
                                    ৳ 55.00",https://medex.com.bd/brands/105/5-fluril-25mg
5X,Tablet,Renata Limited,30 mg,Unit Price : ৳ 200.00,https://medex.com.bd/brands/25154/5x-30mg
A-B1,Tablet,ACME Laboratories Ltd.,100 mg,Unit Price : ৳ 0.86,https://medex.com.bd/brands/13582/a-b1-100mg
A-Cal,Tablet,ACME Laboratories Ltd.,500 mg,Unit Price : ৳ 5.00,https://medex.com.bd/brands/14264/a-cal-500mg
A-Cal,Chewable Tablet,ACME Laboratories Ltd.,250 mg,Unit Price : ৳ 1.50,https://medex.com.bd/brands/28224/a-cal-250mg
A-Cal,Tablet,ACME Laboratories Ltd.,250 mg,Unit Price : ৳ 1.00,https://medex.com.bd/brands/28225/a-cal-250mg
A-Cal D,Tablet,ACME Laboratories Ltd.,500 mg+200 IU,Unit Price : ৳ 6.50,https://medex.com.bd/brands/14399/a-cal-d-500mg
A-Cal DX,Tablet,ACME Laboratories Ltd.,500 mg+400 IU,Unit Price : ৳ 7.50,https://medex.com.bd/brands/14480/a-cal-dx-500mg
A-Calm,Tablet,ACME Laboratories Ltd.,50 mg,Unit Price : ৳ 6.00,https://medex.com.bd/brands/15483/a-calm-50mg
A-Card,Tablet,ACME Laboratories Ltd.,20 mg,Unit Price : ৳ 1.43,https://medex.com.bd/brands/3039/a-card-20mg
A-Care,Tablet,Asiatic Laboratories Ltd.,6 mg+200 mg+50 mg,Unit Price : ৳ 2.50,https://medex.com.bd/brands/14006/a-care-6mg
A-Clox,Capsule,ACME Laboratories Ltd.,500 mg,Unit Price : ৳ 5.98,https://medex.com.bd/brands/6171/a-clox-500mg
A-Clox,Powder for Suspension,ACME Laboratories Ltd.,125 mg/5 ml,"100 ml bottle :
            
                                    ৳ 45.00",https://medex.com.bd/brands/6172/a-clox-125mg
A-Clox,Injection,ACME Laboratories Ltd.,250 mg/vial,"250 mg vial :
            
                                    ৳ 20.00",https://medex.com.bd/brands/6173/a-clox-250mg
A-Clox,Injection,ACME Laboratories Ltd.,500 mg/vial,"500 mg vial :
            
                                    ৳ 28.43",https://medex.com.bd/brands/6174/a-clox-500mg
A-Cof,Syrup,ACME Laboratories Ltd.,(10 mg+30 mg+1.25 mg)/5 ml,"100 ml bottle :
            
                                    ৳ 100.00",https://medex.com.bd/brands/4006/a-cof-10mg
A-Cold,Syrup,ACME Laboratories Ltd.,4 mg/5 ml,"100 ml bottle :
            
                                    ৳ 40.12",https://medex.com.bd/brands/4077/a-cold-4mg
A-COLD Vet,Bolus Tablet,ACME Laboratories Ltd.,100 mg,Unit Price : ৳ 10.01,https://medex.com.bd/brands/31314/a-cold-vet-100mg
A-COLD Vet,Powder for Solution,ACME Laboratories Ltd.,10 mg/gm,"100 gm sachet :
            
                                    ৳ 98.64",https://medex.com.bd/brands/31315/a-cold-vet-10mg
A-Fenac,Tablet,ACME Laboratories Ltd.,25 mg,Unit Price : ৳ 0.55,https://medex.com.bd/brands/10929/a-fenac-25mg
A-Fenac,Tablet,ACME Laboratories Ltd.,50 mg,Unit Price : ৳ 0.84,https://medex.com.bd/brands/10930/a-fenac-50mg
A-Fenac,IM Injection,ACME Laboratories Ltd.,75 mg/3 ml,"3 ml ampoule :
            
                                    ৳ 14.10",https://medex.com.bd/brands/10932/a-fenac-75mg
A-Fenac,Suppository,ACME Laboratories Ltd.,12.5 mg,Unit Price : ৳ 8.07,https://medex.com.bd/brands/10934/a-fenac-125mg
A-Fenac,Suppository,ACME Laboratories Ltd.,50 mg,Unit Price : ৳ 14.10,https://medex.com.bd/brands/10935/a-fenac-50mg
A-Fenac,Gel,ACME Laboratories Ltd.,1% w/w,"10 gm tube :
            
                                    ৳ 13.09",https://medex.com.bd/brands/11107/a-fenac-1w
A-Fenac K,Tablet,ACME Laboratories Ltd.,50 mg,Unit Price : ৳ 3.01,https://medex.com.bd/brands/11134/a-fenac-k-50mg
A-Fenac Plus,IM Injection,ACME Laboratories Ltd.,(75 mg+20 mg)/2 ml,"2 ml ampoule :
            
                                    ৳ 14.10",https://medex.com.bd/brands/10933/a-fenac-plus-75mg
A-Fenac SR,Tablet (Sustained Release),ACME Laboratories Ltd.,100 mg,Unit Price : ৳ 3.01,https://medex.com.bd/brands/10931/a-fenac-sr-100mg
A-Flox,Capsule,ACME Laboratories Ltd.,250 mg,Unit Price : ৳ 5.66,https://medex.com.bd/brands/6210/a-flox-250mg
A-Flox,Capsule,ACME Laboratories Ltd.,500 mg,Unit Price : ৳ 10.58,https://medex.com.bd/brands/6211/a-flox-500mg
